"","KnowledgeAssessmentID","RecentVersion","KnowledgeAssessmentName","ExamID","QuestionName","CorrectAnswer","QuestionID","TaxonomyURIorName","SME_assignment","tiebreaker"
"1","7ae445fa-1eb0-482e-b7f0-5d2e022dfad9",1,"RN: Hemodialysis Assessment",217,"Patient and machine parameters during treatment are carried out and documented at a minimum of every _____ minutes.","30","deb2a9e3-f813-4c77-949b-400533c7f55d","Medical Equipment","SME 2","SME 1"
"2","67012535-ad91-47b8-b70c-2244d9e59529",1,"Therapy: Occupational Therapist (OT) Assessment",523,"The client has ulnar nerve damage in his non-dominant hand. He works as a handyman. What part of his job may need to be modified?","Carrying paint buckets with his non-dominant hand","9c139754-7db1-4550-a40a-46f8008edbc5","Occupational Therapist","SME 2","SME 1"
"3","5a063a46-9f0b-4883-a2b8-ab40f96ec824",1,"RN: ICU Medical Assessment",433,"A patient is admitted to the Medical ICU with suspected cervical spinal cord injury following a motor vehicle accident. The most important nursing intervention for this patient is to:","immobilize his head.","6cf9894e-dae0-41d5-99fe-449830aaecb3","Nursing: Registered Nurse - RN","SME 2","SME 1"
"4","94996daa-4d78-426d-b732-95a551489e50",3,"Allied: Emergency Medical Technician Assessment",396,"Why do EMTs immobilize the spines of trauma patients reporting back pain?","To minimize damage to the spinal cord","67c75576-de46-455f-8aac-3e1994c41a49","Clinical Basics","SME 2","SME 1"
"5","c383d71b-444e-4ba3-80a9-624d5244c4aa",1,"Allied: Medical Assistant Assessment",501,"During the macroscopic phase of the urinalysis, the medical assistant might note a milky or cloudy quality of the urine sample. What could cause this milky/cloudy quality?","Bacteria","2c45660b-3098-4a13-89c9-d3a6664ff78f","Laboratory","SME 2","SME 1"
"6","57be686f-1fd8-4fde-ba16-e31f75fb49d6",1,"RN: Acute Rehabilitation Assessment",373,"What is the priority nursing diagnosis for a patient experiencing acute compartment syndrome?","Risk for peripheral neurovascular dysfunction","a67112fe-b0b6-4bd0-a165-a13721d4da6f","Rehabilitation","SME 2","SME 1"
"7","457d9418-4ec2-4c07-b062-c8c7e93eb588",1,"Pharmacology: RN Assessment",309,"A provider order has been received for MS 4 mg IV q4h prn. Within this order, what appears on The Joint Commission&#39;s Official 'Do Not Use' List?","MS","b5295825-4904-4579-9020-87e8ad467a0c","Medications","SME 2","SME 1"
"8","67dfb286-67bf-4e7f-bd9e-37554b21d68b",1,"Therapy: Physical Therapist (PT) Assessment",471,"An example of a fan-shaped muscle is the:","gluteus minimus.","86d746ec-623b-42ac-b71d-9c05706621e4","Orthopedic Care","SME 2","SME 1"
"9","97a31324-80d0-4030-8c31-2905695fe66c",2,"RN: Telemetry Assessment",487,"Prior to administering digoxin (Lanoxin&reg;) to a patient, the nurse assesses the:","apical pulse for 1 minute.","10174505-fa74-4605-bd6d-e91b48377959","Nursing: Registered Nurse - RN","SME 2","SME 1"
"10","a709bd73-be3e-4c70-abe0-6fb4525e2358",2,"Allied: Behavioral Health Technician Assessment",479,"Which classification of fires involves ordinary combustibles such as paper and trash?","Class A","4030a671-0e9d-40bf-a74d-813a9032db4d","http://healthstream.poolparty.biz/HSTMTaxonomy/d64811fb-81b1-4a60-b141-ab8e158fd694","SME 2","SME 1"
"11","67dfb286-67bf-4e7f-bd9e-37554b21d68b",1,"Therapy: Physical Therapist (PT) Assessment",471,"Ultrasound:","has energy that is absorbed by soft tissue.","6e9d37fe-801b-40ea-a7e0-ca62895a67e1","Medical Equipment","SME 2","SME 1"
"12","dd5f6814-a43c-4d8a-bf88-d91121d3478b",1,"Therapy: Speech Language Pathologist Assessment",469,"In what population are pitch breaks in voice typically seen?","Adolescents","79e1e1fd-0d48-42f6-81ab-64afbc0a4a94","Speech-Language Pathologist","SME 2","SME 1"
"13","a709bd73-be3e-4c70-abe0-6fb4525e2358",1,"Allied: Behavioral Health Technician Assessment",479,"Which of the following substance use disorder criteria was included in the DSM-IV but was left out of the DSM-V?","Recurrent substance-related legal problems","1ec41b8d-8e1a-4a02-b5da-bce6d7501041","Psychiatric Aide","SME 2","SME 1"
"14","68c2c0e0-0308-4ec6-b820-0e421da089d7",1,"RN: Perioperative Assessment",508,"Which of the following statements demonstrates the evaluation phase for an inguinal herniorrhaphy plan of care?","The patient will not experience urinary retention.","8261e81e-27e8-42cb-be03-c72e91bad2eb","Perioperative","SME 2","SME 1"
"15","c7fd554e-78f4-47a7-ac3d-7abcef0af7a7",1,"Allied: Surgical Technologist Assessment",505,"What is the Universal Protocol for preventing wrong site surgery called?","Time-out","c472b2ac-17b2-4757-ba12-076bc7feafe7","Surgical Technologist","SME 2","SME 1"
"16","5a063a46-9f0b-4883-a2b8-ab40f96ec824",1,"RN: ICU Medical Assessment",433,"The most common early complication of myocardial infarction is:","cardiac dysrhythmia.","6f89ac4b-05ba-4f62-8c21-fd377ee7698c","Nursing: Registered Nurse - RN","SME 2","SME 1"
"17","19daf9c1-5319-4a9c-9f4b-4d4d7c8c4230",1,"Radiology: Nuclear Medicine Technologist Assessment",298,"In addition to myocardial perfusion studies, Tc99m sestamibi is FDA-approved for:","lymphoscintigraphy of breast tumors.","322206cd-bc45-4563-babc-1ceaeaa22cbc","Radiology","SME 2","SME 1"
"18","dd5f6814-a43c-4d8a-bf88-d91121d3478b",1,"Therapy: Speech Language Pathologist Assessment",469,"Language testing is used to determine if a child has a language impairment; it is based on the normal curve, or bell curve. A patient scored a standard score of 77 on the expressive portion of a standardized language test. This score suggests language skills:","below normal limits for his age.","24223876-42ad-4cf3-aa87-5c41fb4e27d3","Speech-Language Pathologist","SME 2","SME 1"
"19","5853516b-4c3f-4233-8e07-986eb370a933",1,"RN: ICU Trauma Assessment",473,"PK sustained extensive brain trauma in an ATV rollover. His vital signs are stable with a Glasgow Coma Score of 5T (does not open eyes = 1, no verbal response, intubated = 1T, flexion to painful stimuli = 3). The trauma nurse notes a sudden, marked increase in clear urine output and suspects:","diabetes insipidus.","cf6d2650-d884-41ee-aa2f-49db17c8dddc","Trauma Center","SME 2","SME 1"
"20","2ca33ed7-9bc2-44e0-bae1-5cec06ac306d",1,"Lab: Phlebotomy Technician Assessment",252,"If there is no alternate vein from which to draw, the phlebotomist should perform venipuncture distal to a hematoma.","TRUE","439da835-8543-48e5-a6ac-d764d70c925e","Phlebotomist","SME 2","SME 1"
"21","6f8b3528-1427-450f-92f4-6fc159f6b0a3",1,"Radiology: Radiology Technologist Assessment",261,"Regardless of what portion of the body is being imaged, when x-rays are directed toward the head or upper part of the body, the angulation is:","cephalad.","5c1cca94-b273-43bd-ac5d-e1101f2dd0f7","Radiologic Tests","SME 2","SME 1"
"22","68ec3bbe-b95f-48c9-a6f6-7bd0ee6dbdb7",1,"Pharmacology: Corrections RN Assessment",521,"Digoxin (Lanoxin&reg;) 0.25 mg is ordered. Digoxin (Lanoxin&reg;) is available as 0.125 mg per tablet. How many tablets should be administered?","2 tablets","353b8f3b-3ca0-49e0-a302-cd75187992ba","Correctional","SME 2","SME 1"
"23","551aa182-168f-4459-a332-f8b3580c55f1",2,"Lab: Medical Lab Technician (MLT) Assessment",394,"When preparing slides by the two-slide method, which of the following is true?","The smear should cover one-half to three-fourths of the slide.","1a75787d-b56d-46a3-b807-3186eb641a3c","HealthStream Assess","SME 2","SME 1"
"24","72864d5c-c90a-4220-8c86-5bd105e4aa01",1,"Cardiac Rhythm Identification - Basic Assessment",421,"<img width='900'  border='0' src='http://www.healthstream.com/content/nursecompetency/Rhythms/AFlutter.jpg' />","Atrial flutter","b3f9d990-9b05-4d0d-8b06-f726bbf3fb78","Cardiac Rhythms","SME 2","SME 1"
