"","KnowledgeAssessmentID","RecentVersion","KnowledgeAssessmentName","ExamID","QuestionName","CorrectAnswer","QuestionID","TaxonomyURIorName","SME_assignment","tiebreaker"
"1","67012535-ad91-47b8-b70c-2244d9e59529",1,"Therapy: Occupational Therapist (OT) Assessment",523,"An OT is evaluating an elderly woman who lives alone. The most important intervention assessment for this client is a:","safety evaluation.","7279d830-e085-45ff-8c56-9b6fa132a451","Occupational Therapist","SME 3","SME 2"
"2","af87f8f0-bece-4e2a-9afc-5b0624b4d196",2,"RN: ICU Surgical Assessment",415,"What clinical scale is utilized for assessment and guides pharmacological management decisions for patients who are undergoing treatment for alcohol withdrawal?","Clinical Institute Withdrawal Assessment (CIWA)","4b8d8840-2882-46ad-9a35-8f1672000e2a","Nursing: Registered Nurse - RN","SME 3","SME 2"
"3","926e543f-1424-4a7a-ad25-354e123d335b",1,"RN: Medical-Surgical Assessment",520,"When evaluating a patient with symptoms of shock, the nurse must differentiate between neurogenic and hypovolemic shock. How do the symptoms of neurogenic shock differ from hypovolemic shock?","In neurogenic shock, the skin is warm and dry.","e278284b-98d9-4709-a068-396dce7064c3","Nursing: Registered Nurse - RN","SME 3","SME 2"
"4","0d779224-1811-485c-947b-b5457e7d4245",1,"RN: Long-Term Care (LTC) Assessment",408,"An important goal for wounds with exudates is to absorb the excess exudate by using absorptive dressing materials, because excessive exudates:","cause maceration.","99c25ed5-a984-46ac-a773-09ea2667416d","Nursing: Registered Nurse - RN","SME 3","SME 2"
"5","36ca386d-6fa4-4a00-ade4-e571b067eaa8",2,"RN: ICU Neonatal Assessment",239,"A baby is born via Cesarean section and the NICU team is present for the delivery. The baby is having respiratory distress, and the nurse notices that the baby’s abdomen appears to be sunken. What respiratory assistance should be given?"," Endotracheal intubation with PPV","11356ced-a0ad-4c05-90f8-bea7f7f8358d","Nursing: Registered Nurse - RN","SME 3","SME 2"
"6","904cfd16-2758-466c-8b11-d6ad62bb19e4",1,"Allied: Pharmacy Technician: Hospital Assessment",288,"A ___________ distributes HEPA-filtered air into a work area to maintain a sterile environment.","laminar flow hood","ddcb0ea5-03c8-478e-8ed1-6b1cfda3f15f","Pharmacy Technician","SME 3","SME 2"
"7","36ca386d-6fa4-4a00-ade4-e571b067eaa8",1,"RN: ICU Neonatal Assessment",239,"In tricuspid atresia, there is complete agenesis of the tricuspid valve with no direct communication between the:","right atrium and right ventricle.","c3a047e5-c4ac-4236-b89d-093c4157cdfe","Neonatal Intensive Care","SME 3","SME 2"
"8","43a4e179-9a02-4dd1-8a94-4158cd6ae0dd",1,"Radiology: Mammography Technologist Assessment",301,"After mammogram interpretation, the radiologist assigns a category BI-RADS 0 to the patient’s report. A BI-RADS 0 assessment indicates that the patient:","should return for additional evaluation.","efc794e5-d71f-472a-8b23-09c846dbdaac","Diagnostic Medical Sonographer","SME 3","SME 2"
"9","3d97d090-50b3-469f-a402-9bb921a76c5f",1,"RN: Pediatric Assessment",472,"When preparing a child with asthma for discharge, the nurse must emphasize to the family that:","medications must be continued even if the child is asymptomatic.","a1da36a8-0322-4519-a966-dfc21f059755","Respiratory Disorders","SME 3","SME 2"
"10","2d9d100a-6275-4955-bb5e-07baba91b6c9",1,"Lab: Histotechnologist Assessment",296,"Myelin, located in the peripheral nervous system, is produced by which of the following cells?","Schwann cells","61384a96-0df0-4b0a-9623-d229de2a79e7","Histotechnologists and Histologic Technician","SME 3","SME 2"
